id,contest_id,author,creation_time_seconds,relative_time_seconds,problem_name,problem_type,programming_language,verdict,test_set,passed_test_count,time_consumed_millis,memory_consumed_bytes
253481309,1928,sahil_kamate03,1711537263,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,451,819200
253473201,1928,sahil_kamate03,1711533563,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,7782400
253442668,1928,thotaharshavardhani,1711518264,2964,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,467,1638400
253442065,1928,thotaharshavardhani,1711517897,2597,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,452,1638400
253429853,1928,bkifhr7,1711507858,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,93,819200
253429067,1928,vjudge3,1711506874,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,77,819200
253428682,1928,vjudge.3,1711506389,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,77,819200
253428382,1928,bkifhr10,1711505991,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,62,819200
253424167,1928,luogu_bot4,1711499248,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,217,16281600
253395437,1928,raghavmadan1034,1711478281,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,140,14131200
253390077,1928,raghavmadan1034,1711475665,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,139,14131200
253389141,1928,Ordon,1711475190,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,2,1000,11776000
253386779,1928,raghavmadan1034,1711473960,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,14131200
253381865,1928,yadavravishekhar589,1711471533,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,140,8704000
253371934,1928,yadavravishekhar589,1711467150,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,8704000
253370695,1928,raghavmadan1034,1711466659,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,14131200
